implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
EIBFS new,13570,779184,0.110433,89.5156,89.5156,5.877102875106072e-06,2.8544611859644635e-05,6.487093245230446e-06,1.075823054305829e-05,1.7245323788288738e-05,32
EIBFS new2,13570,779184,0.282996,89.3477,89.3477,8.736659653281801e-06,2.854597136725152e-05,9.630398259866111e-06,1.6005791500757026e-05,2.563618976062314e-05,32
EIBFS old,15138,877376,0.0993782,89.6055,89.6055,5.856485186713842e-06,2.842646767182176e-05,6.415054854262692e-06,1.076976995695418e-05,1.718482481121687e-05,32
EIBFS new,15138,877376,0.0816175,89.6289,89.6289,3.0594977895834223e-06,2.835682966747464e-05,3.269884838128304e-06,5.511943416763643e-06,8.781828254891947e-06,32
EIBFS new2,15138,877376,0.186142,89.5312,89.5312,5.912021485933436e-06,2.8742332886537305e-05,6.595837498887813e-06,1.0751948805840074e-05,1.7347786304727887e-05,32
EIBFS old,16898,984616,0.117728,92.5469,91.041,5.9023285669371165e-06,2.8689655540498687e-05,6.564760251813462e-06,1.07545838884505e-05,1.7319344140263963e-05,32
EIBFS new,16898,984616,0.0983162,89.6133,89.6133,5.867116374982352e-06,2.8497131210820063e-05,6.454167941108424e-06,1.0761852220579727e-05,1.721602016168815e-05,32
EIBFS old,16322,289096,0.0186585,89.6172,89.6172,2.974932876583945e-06,2.8047003539864265e-05,3.187182271977007e-06,5.515864819321337e-06,8.703047091298344e-06,32
EIBFS old,22178,1306336,0.260722,121.348,110.736,8.82481097333166e-06,2.885330266526628e-05,9.900427364782638e-06,1.5994426926465622e-05,2.589485429124826e-05,32
EIBFS new,22178,1306336,0.223201,103.727,99.0635,8.7905783733514e-06,2.8735709663554065e-05,9.794820058077467e-06,1.5999584694797875e-05,2.5794404752875344e-05,32
EIBFS new2,22178,1306336,0.543218,89.4023,89.4023,1.7424553709857734e-05,2.8747238839390256e-05,1.9407161914605783e-05,3.1722123547749e-05,5.112928546235478e-05,32
EIBFS old,14786,855928,0.137293,89.4609,89.4609,5.893027370739762e-06,2.863366033363832e-05,6.533920782682279e-06,1.075813063471287e-05,1.729205141739515e-05,32
EIBFS new,14786,855928,0.117485,89.4531,89.4531,5.874089973089843e-06,2.8553718840929963e-05,6.4824985193320805e-06,1.0753984438377984e-05,1.7236482957710064e-05,32
EIBFS new2,14786,855928,0.307436,89.7344,89.7344,1.1575249857600144e-05,2.8520272418602407e-05,1.2728028515741896e-05,2.1237504497163683e-05,3.396553301290558e-05,32
EIBFS old,15266,883408,0.131889,89.4102,89.4102,5.91729318573837e-06,2.8750433219093324e-05,6.604924728377537e-06,1.0758330451403707e-05,1.7363255179781246e-05,32
EIBFS new,15266,883408,0.114244,89.4766,89.4766,5.8873262577128e-06,2.85965839980056e-05,6.518390770267335e-06,1.0756931734567845e-05,1.7275322504835178e-05,32
